"lon","lat","incl_deg","intensity_uT"
48,-6,-30.15212583970817,35.22146329523502
60,-6,-29.758591520993544,38.52322087509892
72,-6,-30.318767577441648,41.64902800129068
84,-6,-30.893456367373055,44.10450924092973
96,-6,-30.261012698642595,44.93381284401818
108,-6,-28.263381847468246,44.234486138057896
120,-6,-27.311475956721544,43.317156466492776
132,-6,-27.97878532725834,42.45725656625788
144,-6,-27.825998573002032,41.169560418156976
156,-6,-25.746873642835777,39.66751273166375
168,-6,-22.032311030723083,37.88751527394325
180,-6,-17.459843205263166,36.160533664859656
-180,0,-5.15117921821243,34.152256879918454
-168,0,-0.9287334613335184,33.00853724094009
-156,0,2.050374993852664,31.97245694787899
-144,0,4.832640333922771,31.16726002753023
-132,0,7.716943895491582,30.61601260660292
-120,0,10.451093279943032,30.25925196955726
-108,0,13.69789491449032,30.00640933993353
-96,0,17.898380519515268,29.625035844705707
-84,0,20.581946888116818,28.840174364278194
-72,0,18.08092041717526,27.6837719496422
-60,0,8.973085709918216,26.73934689680819
-48,0,-4.70651713538607,26.559409453078498
-36,0,-17.88159127851485,27.452541609544244
-24,0,-26.379479339394276,28.900676402252085
-12,0,-29.88913611864859,30.50816781763779
0,0,-30.2231470689165,31.865504099259383
12,0,-28.68574585439581,32.61146727260134
24,0,-24.871180654743824,32.94592608144342
36,0,-19.732384488787197,33.56193054804013
48,0,-16.641045584117194,35.40179605975267
60,0,-16.188091617606897,37.92102590187663
72,0,-16.68775116196716,40.413065399982045
84,0,-17.359597720161492,42.249745976264
96,0,-16.991095649765807,42.83033177978292
108,0,-15.283760179021138,42.0939423319042
120,0,-14.766327567932374,41.037058304652874
132,0,-16.02785578489772,40.03922800495324
144,0,-16.2949983786117,38.628847983972534
156,0,-14.247168157839416,36.99114294652744
168,0,-10.212827904733743,35.478371623993
180,0,-5.151179219722041,34.15225687384839
-180,6,7.063792863916016,33.06875604235906
-168,6,11.367436380132684,32.391679275919735
-156,6,14.188635982565904,31.847211982147307
-144,6,16.69414518281609,31.58904133720964
-132,6,19.33579854883562,31.63279102809833
-120,6,21.875288414616428,31.860845018461102
-108,6,24.850507996326474,32.12870002886637
-96,6,28.396704033292274,32.16417108036721
-84,6,30.26009754580335,31.5704503437399
-72,6,27.603684902252443,30.358452901972637
-60,6,19.309267929751922,29.10202592648842
-48,6,6.843479348972287,28.494269950338452
-36,6,-5.27631569474429,28.879822503046153
-24,6,-13.014585518716427,29.972266344296187
-12,6,-15.744188249128749,31.28470990416027
0,6,-15.377569473079662,32.472384762779136
12,6,-13.636940861467817,33.3714317862979
24,6,-9.965730990035317,33.949837116856635
36,6,-5.034451408231553,34.72446639198286
48,6,-2.0398793942645543,36.175097442713785
60,6,-1.564809796189519,38.15160025398263
72,6,-1.9703693050226756,40.068845432283155
84,6,-2.6574774434375965,41.519764895796214
96,6,-2.556822819909309,41.89814827459858
108,6,-1.3219985793903737,41.2862536344384
120,6,-1.3304026608998927,40.144841877496255
132,6,-3.1394474271383452,38.76679731106415
144,6,-3.9098821354664253,37.06228873140671
156,6,-2.150219118472949,35.38089779695384
168,6,1.8569454015227436,34.00579721393179
180,6,7.063792863658069,33.068756038915126
-180,12,18.332523661513584,32.92688123076038
-168,12,22.461367244514662,32.62855491202166
-156,12,25.079371262299055,32.510338802720796
-144,12,27.324251216051415,32.747406920055944
-132,12,29.75455964530551,33.36953637508479
-120,12,32.14409371771169,34.16864051243831
-108,12,34.824157936245726,34.92217081341264
-96,12,37.66317070203874,35.30487692483654
-84,12,38.75335939284189,34.76526714050481
-72,12,36.03932051583117,33.471169608213245
-60,12,28.78529983963945,31.91233292724265
-48,12,18.2155986278031,30.866939605889048
